prompt_structure,context_mode,choice_format,output_format,max_new_tokens,decoding_strategy,parse_rule,image_size,enable_image_augmentation,brightness_jitter,slight_rotation_deg,include_metadata_in_prompt,metadata_fields,question_label,choices_label,answer_prefix_text,instruction_prefix,ablation_id,n_examples,accuracy,percent_correct,parse_failure_rate,invalid_output_rate,mean_output_length_chars,std_output_length_chars,prediction_distribution
question_first,hint_lecture,letter_dot,answer_prefix,256,greedy,strict_first_letter,,False,0.0,0.0,False,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genB_001,128,0.328125,32.8125,0.15625,0.0,830.015625,389.39829353228987,"{0: 0.9375, 1: 0.0546875, 3: 0.0078125}"
question_first,hint_lecture,letter_dot,answer_prefix,256,greedy,strict_first_letter,,False,0.0,0.0,False,"['subject', 'topic']",Question:,Choices:,The correct answer is:,,genB_002,128,0.328125,32.8125,0.15625,0.0,830.015625,389.39829353228987,"{0: 0.9375, 1: 0.0546875, 3: 0.0078125}"
question_first,hint_lecture,letter_dot,answer_prefix,256,greedy,strict_first_letter,,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genB_003,128,0.3203125,32.03125,0.1484375,0.0,878.8515625,402.36954582051635,"{0: 0.9375, 1: 0.0390625, 2: 0.0078125, 3: 0.0078125, 4: 0.0078125}"
question_first,hint_lecture,letter_dot,answer_prefix,256,greedy,strict_first_letter,336.0,False,0.0,0.0,False,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genB_005,128,0.3203125,32.03125,0.15625,0.0,801.3671875,353.96817192487777,"{0: 0.9296875, 1: 0.0546875, 3: 0.0078125, 4: 0.0078125}"
question_first,hint_lecture,letter_dot,answer_prefix,256,greedy,strict_first_letter,384.0,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genB_011,128,0.3203125,32.03125,0.15625,0.0,845.328125,361.02315778767485,"{0: 0.9375, 1: 0.0390625, 2: 0.0078125, 3: 0.0078125, 4: 0.0078125}"
question_first,hint_lecture,letter_dot,answer_prefix,256,greedy,strict_first_letter,336.0,False,0.0,0.0,False,"['subject', 'topic']",Question:,Choices:,The correct answer is:,,genB_006,128,0.3203125,32.03125,0.15625,0.0,801.3671875,353.96817192487777,"{0: 0.9296875, 1: 0.0546875, 3: 0.0078125, 4: 0.0078125}"
question_first,hint_lecture,letter_dot,answer_prefix,256,greedy,strict_first_letter,336.0,False,0.0,0.0,True,"['subject', 'topic']",Question:,Choices:,The correct answer is:,,genB_008,128,0.3203125,32.03125,0.1640625,0.0,837.2734375,361.53215008410194,"{0: 0.9375, 1: 0.046875, 2: 0.0078125, 3: 0.0078125}"
question_first,hint_lecture,letter_dot,answer_prefix,256,greedy,strict_first_letter,384.0,False,0.0,0.0,False,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genB_009,128,0.3203125,32.03125,0.15625,0.0,801.5078125,353.697456258827,"{0: 0.9296875, 1: 0.0546875, 3: 0.0078125, 4: 0.0078125}"
question_first,hint_lecture,letter_dot,answer_prefix,256,greedy,strict_first_letter,384.0,False,0.0,0.0,True,"['subject', 'topic']",Question:,Choices:,The correct answer is:,,genB_012,128,0.3203125,32.03125,0.15625,0.0,837.890625,360.23792559516744,"{0: 0.9375, 1: 0.0390625, 2: 0.0078125, 3: 0.0078125, 4: 0.0078125}"
question_first,hint_lecture,letter_dot,answer_prefix,256,greedy,strict_first_letter,384.0,False,0.0,0.0,False,"['subject', 'topic']",Question:,Choices:,The correct answer is:,,genB_010,128,0.3203125,32.03125,0.15625,0.0,801.5078125,353.697456258827,"{0: 0.9296875, 1: 0.0546875, 3: 0.0078125, 4: 0.0078125}"
question_first,hint_lecture,letter_dot,answer_prefix,256,greedy,strict_first_letter,,False,0.0,0.0,True,"['subject', 'topic']",Question:,Choices:,The correct answer is:,,genB_004,128,0.3125,31.25,0.1484375,0.0,868.9375,401.01630168703866,"{0: 0.9296875, 1: 0.046875, 2: 0.0078125, 3: 0.0078125, 4: 0.0078125}"
question_first,hint_lecture,letter_dot,answer_prefix,256,greedy,strict_first_letter,336.0,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,The correct answer is:,,genB_007,128,0.3125,31.25,0.15625,0.0,844.2421875,363.17167828413443,"{0: 0.9296875, 1: 0.046875, 2: 0.0078125, 3: 0.015625}"
